순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
44,천녀유혼,1987-12-05,3888000 ,0.0000 ,5547000 ,564 ,830 ,3 ,13 ,홍콩,홍콩,(주)동아수출공사,,중학생이상관람가,"공포(호러),드라마,판타지",정소동,"장국영,왕조현"
45,그라운드의 이방인,2015-03-19,3422900 ,0.0000 ,22693000 ,557 ,3442 ,12 ,82 ,한국,한국,㈜인디스토리,㈜인디스토리,전체관람가,다큐멘터리,김명준,"김근,양시철,배수찬,권해효,박용진,정원덕,조은성,김정아"
46,깊고 푸른 밤,1985-03-01,1090000 ,0.0000 ,6508000 ,545 ,2660 ,1 ,5 ,한국,한국,동수,,연소자관람불가,"드라마,멜로/로맨스",배창호,"장미희,안성기"
47,폴리스 스토리,1988-07-22,3753000 ,0.0000 ,3967000 ,541 ,568 ,2 ,8 ,홍콩,홍콩,,,중학생이상관람가,"액션,코미디",성룡,성룡
48,당산대형,1973-10-28,3708000 ,0.0000 ,3932000 ,530 ,558 ,1 ,5 ,홍콩,홍콩,골든하베스트,,15세이상관람가,"액션,사극,범죄,스릴러",나유,"마리아 이,전준,이소룡"
49,수상한 그녀,2014-01-22,3528000 ,0.0000 ,62710348249 ,504 ,8658691 ,1 ,3 ,한국,한국,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",씨제이이앤엠(주),15세이상관람가,드라마,황동혁,"심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재"
50,트레이서,2015-03-19,3054000 ,0.0000 ,196021000 ,501 ,26013 ,6 ,18 ,미국,미국,,"(주)영화사오원,(주)브리즈픽처스",15세이상관람가,액션,다니엘 벤마요,"테일러 로트너,마리 아브게로폴로스"
51,쿼바디스,1973-01-13,930000 ,0.0000 ,14605982 ,460 ,9811 ,1 ,9 ,미국,미국,메트로-골드윈-마이어,,연소자관람가,"드라마,사극",머빈 르로이,"데보라 카,로버트 테일러,레오 겐"
52,나쁜 사랑,2015-04-16,3101000 ,0.0000 ,3101000 ,443 ,443 ,2 ,3 ,프랑스,프랑스,,주식회사 씨네룩스,15세이상관람가,"멜로/로맨스,드라마",브누와 쟉꼬,"샤를로뜨 갱스부르,까뜨린느 드뇌브,키아라 마스트로얀니,브누와 뽀엘부르드"
53,"땡큐, 대디",2015-04-23,3199000 ,0.0000 ,3439000 ,414 ,444 ,2 ,3 ,프랑스,프랑스,,(주)영화사 빅,전체관람가,드라마,닐스 타베니어,"자크 검블린,알렉산드라 라미"
54,더 건맨,2015-04-16,3240000 ,0.0000 ,3240000 ,405 ,405 ,2 ,2 ,프랑스,"프랑스,스페인,영국",,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"액션,스릴러",피에르 모렐,"숀 펜,하비에르 바르뎀,이드리스 엘바,레이 윈스톤,마크 라이런스"
55,캐리,1978-09-17,760000 ,0.0000 ,4631000 ,380 ,1889 ,1 ,8 ,미국,미국,,,청소년관람불가,"공포(호러),미스터리,스릴러",브라이언 드 팔마,"씨씨 스페이식,존 트라볼타,파이퍼 로리,베티 버클리,에이미 어빙,윌리엄 캇"
56,열녀문,,729000 ,0.0000 ,4665000 ,363 ,2314 ,1 ,12 ,한국,한국,신필름,,청소년관람불가,사극,신상옥,"신영균,최은희"
57,강남 1970,2015-01-21,2468000 ,0.0000 ,17717971499 ,346 ,2192172 ,1 ,2 ,한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호"
58,여로,,688000 ,0.0000 ,12925000 ,344 ,6436 ,1 ,9 ,미국,미국,,,,"드라마,멜로/로맨스",아나톨 리트박,"데보라 카,율 브린너"
59,토스카,2015-04-01,6643000 ,0.0000 ,10404000 ,340 ,670 ,13 ,21 ,프랑스,프랑스,,에스디시코리아 주식회사,12세이상관람가,공연,피에르 아우디,
